name,total_downloads,latest_release,has_attestation
ffi-compiler,3766771,2024-03-14 00:48:19.046458,False
useragent,3750823,2024-12-04 11:51:54.509065,False
snaky_hash,3746262,2022-09-23 23:56:48.584389,False
http,3724640,2024-02-05 04:06:31.735883,False
brakeman,3719986,2024-12-31 06:01:37.363328,False
database_cleaner-core,3719797,2021-02-04 17:15:50.20953,False
git,3709908,2025-02-27 21:20:52.633298,False
rails-controller-testing,3706863,2020-06-23 12:38:35.345082,False
lint_roller,3690739,2023-07-07 14:12:03.381773,False
http-form_data,3681301,2020-03-09 01:41:29.078791,False
stackprof,3679776,2025-01-14 17:59:06.458296,False
database_cleaner-active_record,3677377,2024-07-12 04:11:43.935728,False
htmlentities,3638970,2015-07-05 11:26:53.279928,False
rubocop-capybara,3591270,2025-03-12 16:06:11.669603,True
rubocop-factory_bot,3566052,2025-03-13 00:02:45.283922,True
elasticsearch-api,3540000,2025-01-15 13:04:56.494931,False
nap,3539736,2016-01-29 22:46:19.656725,False
elasticsearch,3531092,2025-01-15 13:04:48.389672,False
net-http-persistent,3525290,2024-12-04 18:13:11.38344,False
kramdown-parser-gfm,3519699,2019-05-29 13:06:41.611262,False
debug_inspector,3510028,2023-12-12 13:14:23.462522,False
grpc,3491211,2025-03-10 17:43:05.121414,False
xcodeproj,3487451,2024-10-31 17:09:02.228387,False
daemons,3477617,2021-08-26 17:52:46.589533,False
binding_of_caller,3474946,2024-03-07 16:48:54.779475,False
lograge,3445152,2023-10-10 19:04:35.092161,False
jbuilder,3434989,2024-09-15 14:37:16.264271,False
rchardet,3425955,2025-01-05 16:42:20.889856,False
omniauth,3406626,2025-02-27 18:50:15.662886,False
google-apis-androidpublisher_v3,3391827,2025-03-02 12:02:33.81187,False
wisper,3358773,2024-05-23 17:36:56.485351,False
fastimage,3328397,2025-01-03 16:40:41.831041,False
tty-spinner,3319757,2020-01-28 18:32:09.710212,False
yard,3288546,2024-09-04 08:51:34.661711,False
pry-rails,3270123,2024-06-20 01:31:58.455466,False
tty-color,3257770,2020-11-07 17:34:44.397739,False
pastel,3252359,2020-07-04 14:13:49.341812,False
llhttp-ffi,3251359,2025-03-12 03:56:17.101026,False
aws-sdk-sqs,3185179,2025-02-18 21:12:44.554944,False
aws-sdk-ec2,3181914,2025-03-13 19:00:23.063938,False
dry-configurable,3168903,2025-01-06 20:11:53.959314,False
ed25519,3165654,2022-01-16 21:26:16.340817,False
babosa,3155177,2021-08-01 23:11:12.858525,False
dry-initializer,3111632,2025-01-01 21:10:03.376456,False
debug,3086409,2024-12-18 20:49:58.472681,False
uniform_notifier,3069257,2022-03-24 11:40:21.403884,False
css_parser,3053104,2025-03-09 20:29:25.030726,False
nanaimo,3041242,2024-10-03 02:45:32.752367,False
tty-prompt,3020754,2021-04-17 18:18:07.361778,False
chunky_png,3017178,2020-12-28 17:19:18.275742,False
tty-reader,3015174,2020-12-08 21:59:46.317537,False
unicode_utils,2993367,2012-09-30 20:52:20.278513,False
gitlab,2992296,2024-10-29 11:17:37.295683,False
bullet,2970911,2025-02-10 07:55:04.509982,False
prettyprint,2970610,2023-11-07 01:10:15.839677,False
rotp,2967106,2023-08-30 19:23:10.162717,False
web-console,2958752,2023-09-05 20:14:55.355422,False
sentry-rails,2955821,2025-03-11 13:01:40.385147,False
fastlane,2952635,2025-03-13 13:47:24.235927,False
awesome_print,2947261,2021-03-07 18:10:51.923606,False
bindex,2935309,2019-07-10 13:26:27.78158,False
net-scp,2930085,2025-01-22 21:02:17.727524,False
dotenv-rails,2929981,2024-12-18 00:47:50.717583,True
omniauth-oauth2,2911208,2022-06-19 12:45:58.216429,False
paper_trail,2909761,2024-11-08 00:32:56.667428,False
optparse,2900793,2024-11-08 04:23:02.881103,False
thin,2859412,2023-03-31 10:59:10.980981,False
lumberjack,2839594,2023-11-13 17:58:19.229622,False
guard,2825028,2025-01-02 14:35:54.46514,False
redis-namespace,2818548,2023-06-08 15:59:04.896488,False
faraday-http-cache,2813243,2024-01-16 12:41:35.292373,False
opentelemetry-sdk,2807808,2025-02-25 21:54:40.089846,False
opentelemetry-api,2800810,2025-02-20 22:47:19.11662,False
aws-sdk-lambda,2784258,2025-02-18 20:47:44.581299,False
nenv,2763182,2016-02-08 05:54:33.785832,False
shellany,2760322,2014-12-25 03:25:52.348133,False
